species,yolo_confidence,recent_detections,historical_conflicts,settlement_proximity,temporal_pattern,environmental_context,spatial_relationship,risk_score
Asian Elephant,83.42,13,1,0,2,0,0,38.04
Leopard,66.48,4,0,1,1,2,1,42.49
Leopard,74.81,18,0,1,0,2,2,52.27
Wild Boar,84.07,11,2,2,0,0,0,46.42
Leopard,97.82,4,2,1,1,2,2,56.36
Leopard,88.38,14,6,2,2,0,1,76.3
Asian Elephant,95.98,18,5,1,2,1,1,82.17
Wild Boar,89.73,8,3,1,1,2,2,58.59
Spotted Deer,83.08,10,2,0,2,0,1,35.54
Asian Elephant,67.49,5,5,1,0,0,1,47.94
Asian Elephant,86.0,7,3,0,2,0,2,47.22
Spotted Deer,84.31,12,5,1,0,2,1,58.27
Leopard,83.5,3,6,1,2,2,0,61.3
Tiger,79.1,4,6,1,0,1,2,57.72
Wild Boar,80.62,10,0,0,1,2,2,45.7
Tiger,73.04,4,0,2,0,2,2,53.78
Spotted Deer,80.25,15,3,0,2,2,2,60.6
Asian Elephant,67.7,10,5,1,0,1,0,54.29
Asian Elephant,91.4,16,5,2,2,1,2,85.15
Wild Boar,67.25,15,2,1,2,1,2,63.83
Asian Elephant,63.31,19,2,0,0,2,1,51.75
Asian Elephant,77.01,20,3,0,2,0,2,64.12
Wild Boar,85.67,19,4,2,1,2,1,76.62
Wild Boar,77.07,18,2,0,2,1,2,56.09
Spotted Deer,70.79,12,1,1,1,2,2,50.85
Asian Elephant,81.77,16,2,2,1,2,0,65.33
Asian Elephant,73.53,1,4,1,2,0,1,49.93
Spotted Deer,96.38,16,5,2,1,0,0,60.37
Leopard,95.98,2,0,2,1,2,1,51.04
Leopard,79.59,15,0,1,0,1,2,52.46
Leopard,72.79,7,5,0,1,2,0,49.26
Spotted Deer,88.75,1,0,1,1,2,1,34.12
Asian Elephant,61.43,5,2,0,1,2,1,42.73
Spotted Deer,78.52,10,6,0,1,1,0,41.94
Spotted Deer,73.12,4,0,1,1,1,1,27.75
Leopard,95.9,14,6,2,2,1,2,87.33
Tiger,60.47,13,4,1,1,1,1,59.03
Asian Elephant,81.56,1,6,2,2,1,2,72.55
Leopard,88.89,16,4,0,2,2,1,68.91
Tiger,78.92,9,2,2,2,1,0,61.14
Tiger,63.33,16,5,1,0,2,2,72.44
Wild Boar,97.93,19,1,2,0,2,1,64.36
Asian Elephant,80.2,15,2,0,2,2,2,63.41
Tiger,83.95,14,0,0,0,0,0,30.77
Leopard,69.23,20,2,2,1,1,1,68.43
Wild Boar,78.86,10,4,0,2,1,1,54.73
Asian Elephant,76.74,12,2,0,2,2,2,62.7
Spotted Deer,62.92,1,2,2,2,0,0,36.15
Leopard,64.14,17,1,0,0,1,0,33.47
Tiger,92.66,9,4,2,0,2,1,68.19
Tiger,69.35,19,3,2,0,0,2,67.43
Leopard,67.6,18,3,0,1,2,1,56.63
Tiger,79.69,7,4,2,0,0,1,58.12
Wild Boar,89.98,9,3,0,2,2,2,63.11
Asian Elephant,62.42,12,0,0,0,1,0,27.07
Wild Boar,82.5,7,3,0,0,2,1,43.95
Tiger,64.65,14,0,1,0,2,1,50.22
Spotted Deer,61.42,15,4,0,0,0,2,40.52
Asian Elephant,62.06,15,3,2,2,0,2,71.09
Asian Elephant,92.53,6,3,2,0,1,1,53.62
Leopard,64.6,14,5,2,2,2,0,73.5
Leopard,61.76,2,6,1,0,0,2,49.68
Spotted Deer,77.08,8,0,1,1,1,1,36.67
Asian Elephant,92.92,13,0,2,1,1,0,57.61
Spotted Deer,70.23,6,2,2,2,0,2,51.67
Leopard,76.45,5,1,1,2,0,2,45.88
Leopard,61.56,5,3,2,1,2,1,61.05
Asian Elephant,77.51,1,5,0,1,1,2,49.86
Wild Boar,82.53,9,1,0,0,0,1,25.93
Tiger,82.27,6,6,2,1,1,2,74.68
Leopard,72.96,20,6,0,2,2,0,70.3
Leopard,72.31,7,5,2,2,0,0,61.35
Wild Boar,64.16,9,1,1,1,1,2,48.23
Wild Boar,74.31,5,3,2,2,0,1,52.17
Spotted Deer,63.88,14,6,1,0,2,2,68.67
Spotted Deer,89.9,5,5,0,0,2,1,41.68
Tiger,97.68,8,0,0,1,2,2,48.36
Tiger,97.83,7,2,0,2,2,0,52.85
Asian Elephant,93.74,13,5,2,1,0,1,71.99
Spotted Deer,83.43,13,4,1,2,0,0,50.54
Leopard,87.33,8,6,1,2,1,0,60.42
Spotted Deer,71.12,11,6,0,2,1,0,50.62
Leopard,84.6,18,3,0,0,0,2,47.42
Wild Boar,77.77,19,3,1,2,0,1,65.75
Spotted Deer,78.8,6,4,2,0,1,0,45.32
Wild Boar,89.55,2,6,0,2,0,1,49.39
Tiger,70.99,13,1,2,1,2,1,64.0
Tiger,72.4,11,2,0,0,2,0,44.87
Asian Elephant,96.06,1,1,0,0,2,2,37.95
Spotted Deer,62.19,2,4,2,0,1,0,36.9
Wild Boar,78.94,17,4,2,1,0,0,60.37
Leopard,95.6,8,2,2,0,1,1,54.99
Tiger,83.8,2,4,2,1,1,2,69.64
Tiger,81.31,6,4,1,2,0,1,59.79
Leopard,69.74,5,6,1,2,1,2,70.14
Wild Boar,73.39,16,5,0,1,2,0,55.01
Wild Boar,93.23,8,6,0,0,0,2,47.85
Spotted Deer,81.81,19,2,0,0,2,1,44.71
Spotted Deer,80.07,16,3,1,1,2,0,53.77
Asian Elephant,63.88,13,1,2,2,0,2,58.0
Tiger,60.63,20,3,0,1,2,2,69.81
Spotted Deer,97.58,7,3,1,0,2,1,45.27
Wild Boar,74.7,16,5,0,0,2,2,59.26
Leopard,83.53,16,1,1,0,0,0,38.04
Wild Boar,63.11,12,3,2,0,0,2,51.71
Tiger,86.64,14,2,1,2,0,1,59.87
Wild Boar,96.37,18,1,2,2,1,2,71.06
Asian Elephant,82.45,18,0,0,2,2,0,51.88
Tiger,64.92,16,5,2,0,1,0,67.15
Leopard,82.69,20,3,1,0,1,2,63.31
Asian Elephant,89.89,16,4,0,0,2,2,61.73
Tiger,75.85,13,1,0,1,0,0,33.76
Leopard,94.31,9,0,1,0,1,1,37.73
Asian Elephant,85.3,9,4,2,2,0,0,59.74
Asian Elephant,95.07,13,0,1,2,0,2,55.13
Tiger,84.32,4,3,2,2,2,2,71.35
Spotted Deer,65.12,9,4,2,1,1,1,54.71
Asian Elephant,72.08,15,3,0,2,1,0,51.86
Asian Elephant,67.87,14,4,2,1,0,0,58.41
Leopard,95.44,19,1,0,1,2,1,50.54
Wild Boar,89.66,12,6,1,1,1,0,61.57
Tiger,86.38,6,2,1,0,0,1,43.03
Tiger,71.74,3,6,0,0,0,0,35.36
Spotted Deer,67.18,20,2,0,2,0,1,42.12
Spotted Deer,89.5,16,6,2,2,2,1,81.25
Tiger,78.49,20,0,0,1,2,1,52.78
Spotted Deer,68.81,17,5,1,0,0,2,57.7
Leopard,84.05,16,4,0,2,0,2,59.23
Tiger,61.57,6,3,0,2,2,2,57.49
Spotted Deer,72.72,8,5,0,0,0,0,32.65
Tiger,78.27,19,1,2,1,0,1,62.0
Wild Boar,65.77,2,1,0,2,2,0,33.46
Asian Elephant,98.4,14,1,2,2,0,0,57.05
Tiger,68.15,12,2,2,0,0,1,53.67
Asian Elephant,65.08,17,3,0,0,0,2,48.46
Spotted Deer,67.94,15,1,2,1,2,0,56.06
Asian Elephant,89.99,18,1,0,1,2,0,54.1
Tiger,76.59,16,6,1,2,2,0,78.25
Wild Boar,82.05,13,0,1,1,1,2,50.25
Spotted Deer,60.82,17,4,2,2,1,1,68.77
Tiger,61.34,8,4,1,2,1,1,59.87
Spotted Deer,77.39,1,4,0,0,1,0,24.83
Leopard,91.85,3,5,2,2,2,1,69.87
Asian Elephant,94.52,16,6,0,0,0,2,59.0
Leopard,63.38,2,6,2,2,2,1,73.01
Tiger,81.0,15,0,2,2,1,0,60.77
Wild Boar,95.62,1,2,2,2,2,0,53.98
Spotted Deer,75.13,9,5,2,1,0,1,56.44
Asian Elephant,92.35,16,0,1,1,1,0,50.66
Spotted Deer,65.21,4,1,1,0,0,2,27.73
Tiger,96.48,12,3,1,2,0,2,63.31
Spotted Deer,89.31,1,5,2,0,0,2,50.68
Asian Elephant,96.71,1,5,1,0,1,2,55.95
Tiger,86.39,7,1,2,2,2,0,62.24
Spotted Deer,74.17,18,1,1,1,1,0,41.26
Wild Boar,96.59,15,3,2,1,1,1,63.69
Tiger,70.75,13,4,1,0,2,0,57.74
Tiger,72.95,16,5,1,1,2,1,74.22
Wild Boar,87.33,7,0,1,2,2,0,44.29
Leopard,89.85,16,2,2,2,2,1,78.39
Asian Elephant,96.25,13,1,2,1,0,1,55.96
Leopard,67.99,14,1,1,1,1,2,57.32
Spotted Deer,91.12,17,2,2,0,1,1,57.41
Wild Boar,88.8,12,0,0,1,1,1,35.51
Leopard,62.49,20,1,1,0,2,1,53.38
Tiger,75.1,13,2,1,2,1,1,58.54
Spotted Deer,71.03,20,6,0,2,0,1,60.28
Spotted Deer,71.88,15,1,2,2,1,2,63.05
Leopard,98.33,4,4,2,1,1,1,63.95
Leopard,85.07,2,4,2,1,0,1,53.74
Wild Boar,87.99,18,1,1,1,0,1,46.83
Asian Elephant,98.09,2,6,1,0,1,0,48.46
Leopard,74.71,15,1,1,0,2,0,42.5
Leopard,91.27,19,4,1,0,2,2,73.43
Tiger,76.95,15,6,1,2,1,1,82.25
Spotted Deer,93.91,20,1,2,0,1,1,55.94
Asian Elephant,67.05,10,6,0,1,1,0,51.31
Tiger,96.96,20,0,2,1,1,1,66.7
Wild Boar,68.53,11,0,2,2,2,2,64.81
Wild Boar,72.72,10,3,1,1,1,1,50.82
Leopard,89.49,5,0,0,1,0,2,34.02
Leopard,75.36,9,5,0,1,2,0,50.09
Wild Boar,83.72,20,6,2,0,2,2,83.58
Leopard,77.34,19,5,0,0,0,2,54.3
Asian Elephant,88.95,13,5,2,1,1,2,78.31
Leopard,68.9,18,1,2,1,1,2,64.26
Spotted Deer,62.28,17,1,2,1,1,2,61.53
Leopard,71.7,6,2,2,1,1,2,57.3
Tiger,78.5,10,6,1,0,1,2,62.93
Asian Elephant,66.55,2,5,0,2,0,2,47.24
Tiger,73.84,6,5,1,1,1,2,64.21
Tiger,75.6,13,0,1,0,0,0,35.8
Spotted Deer,62.24,18,4,1,1,0,2,57.83
Asian Elephant,82.75,7,6,2,2,0,2,73.27
Asian Elephant,94.49,2,4,2,0,1,1,53.61
Asian Elephant,65.92,14,6,1,0,1,1,60.88
Asian Elephant,83.31,5,6,1,2,2,1,71.62
Asian Elephant,85.92,18,3,0,2,2,2,71.56
Spotted Deer,76.35,11,2,1,0,0,0,29.37
Leopard,87.34,10,4,2,2,2,0,69.52
Tiger,76.02,11,3,1,1,0,1,51.51
Asian Elephant,79.68,2,0,0,2,2,1,39.54
Leopard,60.29,15,2,0,2,1,2,58.39
Leopard,86.98,7,2,1,0,1,0,39.0
Tiger,85.79,9,5,0,2,0,0,50.3
Spotted Deer,61.5,5,6,0,0,0,1,32.36
Wild Boar,74.36,7,6,2,1,1,0,64.25
Wild Boar,98.18,20,1,0,2,1,1,56.88
Leopard,76.41,2,6,0,2,1,1,55.06
Tiger,79.58,3,6,1,0,2,2,66.5
Wild Boar,95.49,2,6,2,0,2,1,63.45
Leopard,87.97,19,5,0,2,2,2,80.65
Spotted Deer,82.7,4,0,1,0,2,0,24.47
Wild Boar,91.11,20,6,1,2,0,0,71.59
Leopard,93.71,7,5,1,1,0,1,55.97
Leopard,77.82,7,2,1,2,2,1,58.42
Asian Elephant,78.53,17,5,1,1,0,2,67.03
Spotted Deer,75.06,19,6,1,1,2,2,78.29
Asian Elephant,97.7,16,3,0,0,2,0,53.12
Tiger,87.19,3,5,2,0,1,0,53.74
Asian Elephant,63.25,15,4,2,0,2,1,67.4
Asian Elephant,93.66,14,0,1,0,0,1,38.75
Wild Boar,78.74,15,0,1,2,2,2,63.0
Leopard,62.68,14,2,2,1,1,1,59.81
Spotted Deer,81.44,7,5,0,2,0,2,53.66
Asian Elephant,76.27,3,2,1,1,1,0,36.18
Spotted Deer,94.23,17,2,2,1,2,0,59.31
Asian Elephant,67.96,10,3,2,1,2,1,66.04
Tiger,92.23,15,1,1,2,2,2,73.3
Asian Elephant,81.75,6,2,2,0,2,1,56.69
Wild Boar,62.13,17,1,0,2,0,1,42.78
Leopard,97.9,17,1,2,1,2,2,74.9
Tiger,79.99,14,0,1,2,1,1,56.3
Asian Elephant,71.34,18,4,1,1,0,2,67.39
Spotted Deer,78.31,5,4,2,0,0,2,47.57
Tiger,93.46,8,5,2,0,0,1,60.07
Tiger,71.89,7,3,1,2,1,2,64.4
Asian Elephant,67.51,4,3,0,0,1,0,33.11
Tiger,65.03,18,4,2,1,1,0,67.71
Spotted Deer,71.62,5,5,0,1,1,0,36.64
Tiger,90.42,16,6,0,0,2,0,61.14
Spotted Deer,78.39,14,4,1,0,2,1,56.3
Asian Elephant,68.87,19,5,1,0,1,0,56.02
Leopard,66.48,14,5,1,2,1,0,62.31
Tiger,72.98,9,5,0,2,2,0,58.18
Leopard,96.66,6,5,1,1,2,0,58.18
Spotted Deer,73.38,17,0,1,2,1,1,44.14
Tiger,98.54,19,0,0,2,0,0,49.99
Wild Boar,78.92,12,4,0,1,0,2,44.77
Leopard,66.99,4,5,0,1,1,2,51.51
Tiger,94.75,16,2,0,0,0,1,41.53
Leopard,77.95,11,5,2,0,2,1,66.48
Tiger,87.68,4,2,1,2,0,1,48.99
Asian Elephant,98.36,17,0,2,1,1,0,58.3
Leopard,61.96,8,5,0,2,0,1,46.77
Wild Boar,63.77,14,1,0,2,0,0,32.6
Wild Boar,88.1,2,4,0,1,0,1,33.35
Spotted Deer,70.99,11,5,0,1,2,2,57.51
Tiger,67.19,11,3,0,1,2,2,56.83
Leopard,61.54,6,2,1,1,2,0,46.94
Spotted Deer,60.85,14,6,2,2,1,1,69.8
Leopard,90.2,10,6,2,2,0,2,78.96
Tiger,65.24,8,5,1,2,2,0,67.93
Wild Boar,78.24,7,1,1,1,2,2,52.31
Asian Elephant,83.63,8,2,1,0,0,1,36.62
Wild Boar,76.71,8,1,2,2,1,0,51.28
Spotted Deer,61.06,2,6,2,0,0,2,49.64
Asian Elephant,90.56,16,4,0,0,1,1,53.17
Spotted Deer,60.41,9,6,2,0,0,0,50.22
Tiger,89.71,13,4,2,1,2,2,82.25
Asian Elephant,94.84,12,4,1,1,2,2,73.33
Spotted Deer,76.88,17,0,2,2,2,0,55.84
Tiger,80.89,2,6,0,2,1,1,56.12
Wild Boar,78.6,13,6,2,1,0,0,64.63
Tiger,75.18,1,1,1,1,1,2,46.05
Leopard,94.61,19,5,1,0,2,2,77.17
Tiger,94.86,11,3,0,1,1,2,59.47
Tiger,73.1,5,3,0,1,1,1,46.94
Leopard,83.99,1,4,2,1,1,2,59.1
Spotted Deer,96.15,20,3,0,1,0,2,51.65
Spotted Deer,97.52,13,2,0,0,1,0,35.39
Tiger,79.85,8,1,1,2,1,2,62.36
Leopard,77.66,6,1,1,0,1,0,32.57
Leopard,70.87,17,1,2,1,2,2,71.27
Wild Boar,97.4,12,2,2,1,2,0,61.16
Spotted Deer,65.57,1,5,2,2,0,0,46.85
Asian Elephant,82.61,3,0,2,2,2,0,51.39
Spotted Deer,71.02,14,2,1,2,0,0,45.31
Spotted Deer,70.88,8,1,2,0,2,1,42.13
Wild Boar,75.79,11,1,2,2,0,2,57.05
Asian Elephant,98.95,14,6,0,1,0,1,60.27
Wild Boar,62.14,8,1,2,1,0,2,47.62
Asian Elephant,82.56,3,5,0,1,2,0,48.13
Tiger,63.22,7,3,1,0,1,2,54.09
Asian Elephant,66.03,19,0,2,2,2,0,67.97
Wild Boar,77.14,4,2,0,2,1,2,45.42
Spotted Deer,79.91,16,1,2,2,2,0,62.86
Asian Elephant,70.09,13,6,0,2,1,2,69.58
Asian Elephant,72.34,20,6,2,1,2,2,90.98
Leopard,63.39,19,4,1,0,0,2,56.18
Spotted Deer,71.83,5,0,1,2,0,0,25.01
Tiger,97.7,5,6,0,1,0,2,56.84
Wild Boar,96.84,20,4,0,1,1,0,55.11
Tiger,73.06,4,0,1,0,1,1,35.63
Spotted Deer,82.26,2,1,2,2,0,2,49.86
Asian Elephant,95.47,13,0,0,0,1,0,34.05
Asian Elephant,60.24,16,0,1,2,0,0,45.14
Spotted Deer,91.62,2,1,0,0,2,0,26.04
Asian Elephant,96.99,19,5,1,2,1,1,77.2
Asian Elephant,63.56,17,6,1,2,1,0,68.94
Asian Elephant,66.3,5,4,0,0,2,1,46.59
Wild Boar,97.47,18,5,0,2,1,1,67.44
Wild Boar,80.96,18,4,1,0,1,0,53.43
Leopard,60.55,8,3,2,0,1,2,56.95
Tiger,70.05,15,6,1,2,2,1,80.44
Spotted Deer,77.55,13,4,2,2,0,0,56.38
Spotted Deer,87.02,13,4,2,0,0,1,52.79
Spotted Deer,88.59,16,0,2,1,2,0,52.07
Leopard,98.82,20,3,0,0,2,0,55.09
Wild Boar,71.21,13,1,1,1,2,1,53.76
Leopard,80.99,20,1,1,1,0,0,46.4
Spotted Deer,80.8,2,2,2,0,2,1,46.14
Tiger,75.82,3,3,2,0,0,0,39.49
Asian Elephant,66.6,15,0,2,0,2,2,61.85
Wild Boar,98.12,19,2,1,1,1,2,66.16
Wild Boar,93.28,13,2,2,0,0,1,50.77
Leopard,79.43,5,1,1,0,0,1,32.44
Wild Boar,83.53,6,4,1,2,2,1,61.38
Spotted Deer,68.86,14,0,0,2,1,1,37.12
Spotted Deer,81.21,4,3,2,2,0,2,54.72
Leopard,87.1,19,2,2,0,2,1,67.05
Spotted Deer,80.09,7,0,2,0,1,0,34.85
Tiger,98.62,4,1,0,0,0,0,20.08
Leopard,83.84,2,2,2,1,2,1,55.45
Tiger,74.47,7,2,1,1,1,0,41.22
Asian Elephant,90.11,3,5,2,2,0,1,61.4
Tiger,66.65,15,1,1,1,0,0,42.53
Asian Elephant,75.0,1,5,1,1,1,0,49.77
Asian Elephant,73.53,2,1,1,1,2,1,46.88
Tiger,76.84,10,1,1,2,2,1,60.14
Leopard,90.49,16,5,2,2,1,2,85.7
Spotted Deer,78.88,15,6,0,1,0,1,52.5
Spotted Deer,90.97,15,0,0,0,1,2,39.23
Asian Elephant,82.48,14,0,1,2,1,1,53.23
Asian Elephant,73.34,14,6,2,1,1,0,72.06
Leopard,91.59,6,0,0,0,0,2,27.14
Wild Boar,69.29,14,4,2,0,1,0,54.75
Tiger,68.75,17,2,0,2,1,1,57.98
Asian Elephant,79.68,18,0,1,0,0,1,41.71
Spotted Deer,70.17,20,4,1,2,0,1,59.43
Leopard,60.35,19,2,1,1,1,1,53.89
Tiger,85.28,17,0,0,2,2,2,63.14
Leopard,79.93,16,1,2,0,1,2,59.12
Tiger,77.38,8,6,1,2,0,1,63.09
Tiger,97.71,7,3,2,2,0,0,61.55
Asian Elephant,82.28,20,0,2,1,0,2,61.48
Leopard,93.67,12,3,1,0,2,0,54.32
Leopard,65.44,9,0,0,2,0,1,35.9
Spotted Deer,82.2,14,1,1,1,2,2,57.51
Spotted Deer,93.85,20,6,1,1,0,2,69.34
Asian Elephant,82.74,1,6,0,1,0,2,48.06
Asian Elephant,88.0,10,3,2,1,1,0,56.76
Wild Boar,74.51,17,4,0,1,2,1,55.67
Spotted Deer,63.61,17,1,0,2,1,1,45.34
Tiger,77.86,17,3,1,2,2,2,80.14
Leopard,75.38,4,3,0,0,0,2,35.93
Asian Elephant,93.82,17,5,0,2,0,1,57.33
Leopard,69.52,18,5,0,0,2,0,54.53
Leopard,97.7,20,1,2,0,1,2,68.43
Wild Boar,97.37,2,1,2,0,2,0,44.7
Spotted Deer,69.66,8,1,1,2,2,0,43.67
Asian Elephant,73.57,13,2,1,1,2,1,59.29
Leopard,94.93,20,4,2,0,0,1,65.45
Asian Elephant,97.7,15,0,0,1,2,0,45.59
Tiger,77.29,20,5,1,0,0,0,57.91
Wild Boar,72.52,9,6,1,2,1,1,63.65
Tiger,80.52,3,6,0,0,0,2,45.32
Asian Elephant,86.82,3,3,0,2,1,0,39.55
Asian Elephant,70.67,2,5,0,1,1,2,50.68
Spotted Deer,88.72,1,0,0,2,1,0,19.91
Leopard,62.01,14,1,0,1,0,1,36.0
Leopard,61.92,17,6,2,2,2,2,93.86
Tiger,75.07,13,5,0,0,0,1,45.73
Wild Boar,73.79,19,4,1,0,1,0,54.5
Leopard,72.31,15,4,2,2,2,1,80.01
Spotted Deer,79.15,14,2,1,1,0,2,48.04
Tiger,72.51,2,5,0,1,1,1,48.51
Tiger,67.5,7,1,1,1,1,2,50.42
Spotted Deer,72.07,17,3,0,2,2,1,58.14
Wild Boar,98.02,18,2,1,2,0,1,56.91
Spotted Deer,76.03,6,1,1,2,2,2,55.67
Wild Boar,77.34,8,2,0,2,2,2,56.76
Spotted Deer,82.49,2,5,1,1,2,2,52.59
Spotted Deer,98.35,1,0,2,1,2,0,41.26
Asian Elephant,69.42,16,6,1,2,0,1,68.55
Tiger,86.57,7,5,2,2,2,2,86.94
Spotted Deer,87.92,11,1,2,1,1,0,47.93
Spotted Deer,83.69,15,3,1,1,1,0,46.36
Leopard,63.45,13,3,2,0,1,2,63.59
Tiger,86.4,2,1,2,2,2,2,64.32
Leopard,62.5,14,2,1,0,1,2,53.56
Tiger,83.25,6,4,0,1,0,0,39.41
Leopard,88.84,9,1,0,1,2,0,38.57
Spotted Deer,68.23,7,6,2,2,2,1,68.38
Spotted Deer,92.82,18,5,2,0,2,0,67.33
Asian Elephant,61.18,9,3,0,1,0,2,45.08
Leopard,92.91,4,0,2,0,2,1,46.9
Wild Boar,77.95,9,3,0,0,2,1,41.75
Asian Elephant,68.49,4,4,1,0,1,1,44.95
Leopard,65.22,12,3,2,0,1,1,54.48
Leopard,97.18,4,4,1,0,2,2,60.07
Asian Elephant,62.83,20,6,0,2,0,1,61.04
Spotted Deer,67.76,14,1,0,2,1,2,48.23
Leopard,73.57,7,3,1,0,2,0,45.09
Spotted Deer,84.19,13,2,2,2,1,2,66.81
Asian Elephant,81.25,8,5,1,1,1,1,61.13
Spotted Deer,64.9,5,2,1,0,0,0,23.03
Tiger,71.3,12,5,2,2,2,0,76.34
Wild Boar,69.31,13,3,0,2,1,0,48.41
Leopard,68.33,20,6,1,1,2,1,74.14
Wild Boar,76.03,14,3,1,1,0,2,58.16
Spotted Deer,87.46,18,5,0,1,0,2,53.94
Leopard,68.48,20,6,1,1,1,1,71.94
Spotted Deer,74.3,4,0,0,0,0,1,16.7
Tiger,75.25,18,6,2,2,1,0,86.41
Asian Elephant,98.08,7,3,0,2,2,2,62.25
Leopard,97.23,15,0,0,1,1,1,41.06
Tiger,91.21,6,0,1,2,1,1,51.21
Tiger,69.42,16,5,0,2,0,2,65.8
Leopard,62.65,20,0,0,2,2,0,47.22
Spotted Deer,72.36,8,0,1,1,2,0,35.52
Tiger,70.4,16,1,0,2,1,0,45.05
Wild Boar,79.73,16,6,1,2,2,2,83.42
Tiger,90.33,3,2,2,2,2,1,63.71
Spotted Deer,93.47,17,0,0,0,1,1,30.36
Spotted Deer,92.95,9,2,2,0,1,1,44.57
Wild Boar,74.03,3,0,0,2,2,1,35.58
Tiger,86.8,20,2,0,2,1,2,68.11
Spotted Deer,72.2,7,3,2,2,0,0,49.07
Leopard,62.38,18,3,2,2,2,0,75.16
Asian Elephant,87.36,12,2,1,2,1,0,51.65
Asian Elephant,60.38,19,6,1,2,2,0,76.1
Asian Elephant,75.96,16,0,2,0,2,1,56.83
Tiger,72.85,17,1,0,1,0,1,43.77
Wild Boar,87.04,20,6,1,2,0,2,80.79
Spotted Deer,89.88,15,2,0,2,2,0,48.82
Leopard,71.86,1,6,1,2,0,1,55.76
Leopard,91.65,2,4,1,1,1,1,55.31
Tiger,71.46,8,1,1,2,2,1,54.17
Asian Elephant,77.41,2,4,2,2,0,0,51.62
Tiger,88.35,19,2,0,1,2,1,62.44
Wild Boar,87.02,9,0,2,2,2,0,55.0
Wild Boar,98.51,9,6,1,1,1,0,60.53
Spotted Deer,68.78,13,6,2,1,1,2,71.36
Spotted Deer,85.83,6,4,2,2,1,2,66.06
Wild Boar,83.78,15,6,2,0,0,0,58.54
Wild Boar,95.69,19,2,0,0,0,0,39.37
Wild Boar,66.1,15,1,2,2,0,0,51.2
Tiger,89.32,18,0,2,1,1,1,66.57
Wild Boar,82.16,7,4,2,1,2,1,68.0
Leopard,70.71,11,6,2,1,1,1,68.81
Asian Elephant,78.5,8,2,2,2,0,2,65.17
Wild Boar,73.02,6,0,2,0,0,0,31.53
Asian Elephant,82.59,8,0,2,1,0,1,45.58
Tiger,94.67,2,3,1,1,1,1,52.63
Asian Elephant,82.2,19,0,2,2,0,2,65.83
Tiger,84.64,16,2,2,0,1,2,70.55
Leopard,80.23,7,1,0,0,2,0,32.13
Tiger,62.0,10,5,1,2,1,0,63.2
Tiger,69.08,12,3,2,0,0,1,53.9
Spotted Deer,79.19,17,2,0,2,2,1,54.69
Wild Boar,72.1,7,2,2,1,0,1,48.99
Wild Boar,67.09,8,2,2,2,2,1,63.19
Leopard,79.66,7,4,2,1,0,1,57.98
Leopard,72.59,4,6,2,2,1,2,73.09
Wild Boar,70.07,3,4,2,1,0,0,45.23
Spotted Deer,78.1,19,1,0,1,1,2,46.14
Wild Boar,65.2,15,2,2,2,1,0,59.3
Spotted Deer,96.18,4,6,0,1,2,0,45.65
Leopard,93.84,9,4,2,0,1,0,55.26
Asian Elephant,87.6,13,4,0,2,1,2,61.37
Leopard,64.14,18,4,1,0,1,1,58.42
Leopard,90.26,16,1,2,1,2,0,62.0
Tiger,91.51,1,1,1,1,0,0,29.84
Tiger,89.94,4,2,1,1,0,2,49.69
Tiger,64.44,18,3,1,2,1,2,74.72
Tiger,85.11,8,2,2,1,1,1,60.52
Spotted Deer,92.54,20,4,1,0,0,1,54.58
Wild Boar,82.52,16,5,0,0,1,0,46.5
Asian Elephant,85.21,11,6,2,2,0,2,78.81
Leopard,77.88,20,4,1,0,2,1,67.27
Spotted Deer,80.62,19,0,2,2,1,1,59.94
Asian Elephant,61.34,19,5,1,2,1,1,68.64
Spotted Deer,84.92,18,5,0,1,0,2,54.02
Spotted Deer,63.18,19,6,2,0,0,2,69.41
Leopard,76.97,11,2,2,0,2,2,62.28
Wild Boar,71.41,3,4,1,0,1,2,46.8
Tiger,81.27,8,4,0,1,0,2,50.96
Wild Boar,65.2,20,3,2,2,2,0,69.99
Leopard,86.97,19,0,1,0,0,0,42.12
Leopard,91.01,10,2,0,0,0,2,39.58
Leopard,66.37,16,1,0,0,2,0,37.44
Asian Elephant,64.07,5,2,0,0,2,2,43.49
Wild Boar,65.68,20,5,0,1,2,0,58.8
Wild Boar,94.21,9,2,2,2,2,0,62.17
Spotted Deer,80.6,8,3,2,0,2,1,56.46
Spotted Deer,78.22,11,2,0,0,2,2,41.92
Spotted Deer,64.16,16,3,1,2,1,0,54.32
Leopard,85.33,7,5,1,1,2,0,57.73
Wild Boar,93.85,15,3,0,1,1,1,51.48
Leopard,92.3,20,6,0,1,0,0,58.75
Asian Elephant,84.42,17,6,1,1,0,1,66.94
Spotted Deer,62.94,6,4,0,0,2,0,30.68
Leopard,64.38,15,1,0,2,0,1,43.8
Leopard,61.92,8,5,2,2,2,1,76.16
Asian Elephant,70.04,7,3,2,2,2,2,74.54
Tiger,65.29,2,0,0,1,1,2,35.87
Wild Boar,70.14,13,5,0,1,0,0,42.05
Tiger,75.02,6,0,2,2,2,2,66.3
Spotted Deer,96.78,5,1,0,0,0,2,26.76
Leopard,83.8,20,3,2,1,1,2,78.78
Asian Elephant,92.56,1,5,2,0,0,0,47.04
Asian Elephant,87.7,18,5,1,2,1,0,71.91
Wild Boar,64.39,15,1,2,1,1,2,59.93
